,name,address,region,phone,province
0,RS UMUM DAERAH  DR. ZAINOEL ABIDIN,"JL. TGK DAUD BEUREUEH, NO. 108 B. ACEH","KOTA BANDA ACEH, ACEH",(0651) 34565,Aceh
1,RS UMUM DAERAH CUT MEUTIA KAB. ACEH UTARA,JL. BANDA ACEH-MEDAN KM.6 BUKET RATA LHOKSEUMAWE,"KOTA LHOKSEUMAWE, ACEH",(0645) 46334,Aceh
2,RSUP SANGLAH,JL. DIPONEGORO DENPASAR BALI,"KOTA DENPASAR, BALI",(0361) 227912,Bali
3,RS UMUM DAERAH KAB. BULELENG,JL. NGURAH RAI 30 SINGARAJA,"BULELENG, BALI",(0362) 22046,Bali
4,RS UMUM DAERAH SANJIWANI GIANYAR,JL. CIUNG WENARA NO.2 GIANYAR,"GIANYAR, BALI",(0361) 943049,Bali
5,RS UMUM DAERAH TABANAN,JL. PAHLAWAN NO. 14 TABANAN,"TABANAN, BALI",(0361) 811027,Bali
6,RS UMUM DAERAH KABUPATEN TANGERANG,"JL. A YANI NO. 9 TANGERANG, KOTA TANGERANG","TANGERANG, BANTEN",(021) 5523507 / (021)  5512948 / (021) 5513709,Banten
7,RS UMUM DAERAH DR. DRAJAT PRAWIRANEGARA,"JL. TGK DAUD BEUREUEH, NO. 108 B. ACEH","TANGERANG, BANTEN",,Banten
8,RS UMUM DAERAH DR. M. YUNUS BENGKULU,"JL. BHAYANGKARA, SIDOMULYO, KEC. GADING CEMP., KOTA BENGKULU, BENGKULU 38211","KOTA BENGKULU, BENGKULU",(0736) 52004,Bengkulu
9,RS UMUM DAERAH ARGA MAKMUR,"JL. SITI KHODIJAH NO.8, KALI, ARMA JAYA, KABUPATEN BENGKULU UTARA, BENGKULU 38611","BENGKULU UTARA, BENGKULU",(0737) 521118,Bengkulu
10,RS UMUM DAERAH HASANUDDIN DAMRAH MANNA,"JL. RAYA PADANG PANJANG, PAGAR DEWA, KOTA MANNA, KABUPATEN BENGKULU SELATAN, BENGKULU 38515","BENGKULU SELATAN, BENGKULU",0853-8163-7684,Bengkulu
11,RS UMUM DAERAH PANEMBAHAN SENOPATI,JL DR. WAHIDIN SUDIRO HUSODO BANTUL,"BANTUL, DAERAH ISTIMEWA YOGYAKARTA",(0274) 367381,DI Yogyakarta
12,RS UMUM DAERAH WATES,JL TENTARA PELAJAR KM.1 NO.5 WATES KULON PROGO,"KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA",(0274) 773169,DI Yogyakarta
13,RS UMUM DAERAH KOTA YOGYAKARTA,"JL. KI AGENG PEMANAHAN NO.1, SOROSUTAN, KEC. UMBULHARJO, KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA 55162","KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA",(0274) 371195,DI Yogyakarta
14,RSUP DR. SARDJITO,JL KESEHATAN NO.1 SEKIP YOGYAKARTA,"SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",(0274) 631190,DI Yogyakarta
15,RS UMUM AL DR MINTOHARJO,JL. BENDUNGAN HILIR 17 JAKPUS,"JAKARTA PUSAT, DKI JAKARTA",(021) 5703081,DKI Jakarta
16,RS UMUM PAD GATOT SOEBROTO,JL. DR. ABDUL  RAHMAN SALEH NO. 24  JAKARTA PUSAT,"JAKARTA PUSAT, DKI JAKARTA",(021) 3441008,DKI Jakarta
17,RS UMUM BHAYANGKARA TK. I R.SAID SUKANTO,"JL. RAYA BOGOR KRAMAT JATI,JAKARTA TIMUR","JAKARTA TIMUR, DKI JAKARTA",(021) 8093288,DKI Jakarta
18,RSUP PERSAHABATAN,"JL. PERSAHABATAN RAYA NO. 1,JAKTIM","JAKARTA TIMUR, DKI JAKARTA",(021) 4891708,DKI Jakarta
19,RS PENYAKIT INFEKSI PROF. DR. SULIANTI SAROSO,JL. BARU SUNTER PERMAI RAYA JAKARTA UTARA,"JAKARTA UTARA, DKI JAKARTA",(021) 6506559,DKI Jakarta
20,RSUP FATMAWATI,"JL. RS FATMAWATI CILANDAK,JAKSEL","JAKARTA SELATAN, DKI JAKARTA",(021) 7501524,DKI Jakarta
21,RS UMUM DAERAH PASAR MINGGU,"JL. TB. SIMATUPANG NO. 1 KELURAHAN RAGUNAN, KECAMATAN PASAR MINGGU - JAKARTA SELATAN","JAKARTA SELATAN, DKI JAKARTA",(021) 29059999,DKI Jakarta
22,RS UMUM DAERAH CENGKARENG,JL.KAMAL RAYA BUMI CENGKARENG INDAH CENGKARENG TIMUR,"JAKARTA BARAT, DKI JAKARTA",,DKI Jakarta
23,RS UMUM DAERAH PROF DR. H. ALOEI SABOE,"JL. PROFESOR DR. H. ALOEI SABOE, WONGKADITI, KOTA UTARA, KOTA GORONTALO, GORONTALO 96115","GORONTALO, GORONTALO",0435 821924,Gorontalo
24,RS UMUM DAERAH RADEN MATTAHER JAMBI,"JL. LETJEN SUPRAPTO NO.31, TELANAIPURA, KEC. TELANAIPURA, KOTA JAMBI, JAMBI 36361","MUARO JAMBI, JAMBI",(0741) 61692,Jambi
25,RS PARU DR. H. A. ROTINSULU,JL. BUKIT JARIAN NO. 40 BANDUNG,"BANDUNG, JAWA BARAT",,Jawa Barat
26,RS UMUM PUSAT DR. HASAN SADIKIN,JL. PASTEUR NO. 38 BANDUNG,"BANDUNG, JAWA BARAT",,Jawa Barat
27,RS UMUM DAERAH DR. SLAMET GARUT,JL. RUMAH SAKIT NO.12 GARUT,"GARUT, JAWA BARAT",(0262) 232720,Jawa Barat
28,RS UMUM TK II DUSTIRA,JL. DR. DUSTIRA NO.1 KEL. BAROS KEC. CIMAHI TENGAH,"KOTA CIMAHI, JAWA BARAT",(022) 6652207,Jawa Barat
29,RS PARU DR. M. GOENAWAN PARTOWIDIGDO,"JL. RAYA PUNCAK KM.83, PO BOX 28 CISARUA BOGOR 16750","BOGOR, JAWA BARAT",0251-8253630,Jawa Barat
30,RS UMUM DAERAH  R SYAMSUDIN SH,JL. RUMAH SAKIT NO. 1 KOTA SUKABUMI,"SUKABUMI, JAWA BARAT",,Jawa Barat
31,RS UMUM DAERAH GUNUNG JATI,JL. KESAMBI NO.56 CIREBON - 45134,"CIREBON, JAWA BARAT",,Jawa Barat
32,RS UMUM DAERAH KAB. INDRAMAYU,JL. MURAH NARA NO. 7 SINDANG INDRAMAYU,"INDRAMAYU, JAWA BARAT",(0234) 272655,Jawa Barat
33,RS UMUM DAERAH K.R.M.T WONGSONEGORO,JL. FATMAWATI RAYA NO.1,"SEMARANG, JAWA TENGAH",(024) 6711500,Jawa Tengah
34,RS UMUM PUSAT DR. KARIADI,"JL. DR. SOETOMO NO.16,SEMARANG","SEMARANG, JAWA TENGAH",,Jawa Tengah
35,RS UMUM DAERAH KARDINAH,"JALAN AIP JL. KS. TUBUN NO.2, KEJAMBON, KEC. TEGAL TIM., KOTA TEGAL, JAWA TENGAH 52124","TEGAL, JAWA TENGAH",(0283) 350477,Jawa Tengah
36,RS UMUM PUSAT DR. SOERADJI TIRTONEGORO,"JL. KRT. SURAJI TIRTONEGORO NO.1, KLATEN","KLATEN, JAWA TENGAH",,Jawa Tengah
37,RS UMUM DAERAH DR. LOEKMONO HADI,"JL. DR. LUKMONOHADI NO.19,KUDUS","KUDUS, JAWA TENGAH",,Jawa Tengah
38,RS UMUM DAERAH DR. SOESELO SLAWI KABUPATEN TEGAL,"JL. DR. SOETOMO NO.63, SLAWI KULON, KEC. SLAWI, TEGAL, JAWA TENGAH 52419","TEGAL, JAWA TENGAH",(0283) 491016,Jawa Tengah
39,RS UMUM DAERAH KRATON KAB. PEKALONGAN,JL. DR SUTOMO NO. 42 BATANG,"PEKALONGAN, JAWA TENGAH",,Jawa Tengah
